UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name
HC_00_dawn_050124,0.036453537,0.046271351,0.038161676,0.047509118,0.132572676,0.049361435,0.018417736,0.032109106,0.013379783,0.043951878,0.172348383,1.495956023,1.203428598,1.645652717,0.803249526,5.44788937,0.088442695,20.63163162,Group001Sample0001,nyssa_run2
HC_00_dawn_050524,0.058478018,0.043152188,0.055659846,0.068362637,0.217249053,0.00769793,0.026705767,0.045929729,0.019602541,0.066797678,0.201311093,1.023706159,1.315333966,1.608350924,0.81418518,7.863543992,0.092946967,28.06364202,Group003Sample0006,nyssa_run2
HC_00_dawn_2_0505,0.058869393,0.035977331,0.056238191,0.068241191,0.213188111,0,0.026019441,0.045812136,0.020456693,0.065037322,0.148066128,0.933739243,1.314974909,1.660457091,0.82410917,7.738456656,0.094292575,26.78302273,Group008Sample0004,nyssa_run1
HC_00_dawn_A_20231030,0.035733141,0.031462971,0.032573435,0.042192156,0.104764294,0,0.015088781,0.025904785,0.011305929,0.041387804,0.074004859,0.83797798,1.479880839,1.639319447,0.772025847,4.013167297,0.081440377,16.19987502,Group003Sample0006,nyssa_run3
HC_00_dawn_C_20231130,0.030841265,0.04689884,0.029474655,0.036323785,0.091543257,0.008415413,0.014565484,0.024554499,0.010111402,0.037061836,0.089034417,0.912005411,1.342762828,1.66452565,0.811442278,4.016242862,0.09043612,14.81428394,Group003Sample0001,nyssa_run3
HC_00_dawn_nut_041924,0.05129533,0.087338816,0.050189634,0.10109269,0.672219391,0.042294089,0.023493947,0.042331871,0.017223393,0.0599331,0.77227197,3.660647307,0.416957959,1.736870394,0.496471449,24.92783387,0.165445426,66.09826532,Group002Sample0004,nyssa_run2
HC_00_dawn_nut_042024,0.040647946,0.034858793,0.041010578,0.051522986,0.167767555,0,0.019389502,0.033943051,0.014427128,0.047245625,0.203466338,1.541295732,1.23718426,1.602362501,0.795966646,6.283585496,0.093854595,22.0472478,Group003Sample0007,nyssa_run2
HC_00_dawn_nut_050424,0.050794325,0.056333882,0.049653343,0.114413273,0.569255468,0.034301359,0.024566563,0.041739056,0.018154847,0.059544783,0.732927618,4.416717241,0.511012087,1.702457905,0.433982369,22.3814416,0.140981742,61.4525135,Group001Sample0003,nyssa_run2
HC_00_dawn_nut_A_20231031,0.025719693,0.024733753,0.023618284,0.028339409,0.036734926,0,0.011829645,0.020211454,0.008153676,0.029791577,0.036300455,0.843578169,2.434439606,1.605318953,0.833407785,1.671822634,0.050814129,8.966690352,Group002Sample0007,nyssa_run3
HC_00_dawn_nut_B_20231031,0.030982443,0.030503016,0.027518674,0.034895834,0.064735249,0.019885194,0.013573803,0.022480774,0.009707037,0.036798838,0.072780402,0.778320487,1.692648021,1.585393291,0.788594828,2.912303321,0.069635847,13.26409983,Group002Sample0005,nyssa_run3
